Parent Skel, Concatenation Offset, Imbedded Skel, Concatenated Offset,Line Number, Optional, No File Tailoring, Extended
CMN18,1,CMN$$N19,2,30,,,NOEXT
CMN19,2,CMN$$JNM,1,1,,,NOEXT
CMN19,2,CMN00INS,1,7,,,NOEXT
CMN19,2,CMN99INS,1,9,,,NOEXT
CMN20,2,CMN$$SJN,1,1,,,NOEXT
CMN20,2,CMN00INS,1,13,,,NOEXT
CMN20,2,CMN$$ENQ,1,51,,,NOEXT
CMN20,2,CMN$$ENQ,1,85,,,NOEXT
CMN20,2,CMN$$ENQ,1,115,,,NOEXT
CMN20,2,CMN$$SQL,2,137,,,NOEXT
CMN20,2,CMN$$STP,2,141,,,NOEXT
CMN20,2,CMN00INS,1,145,,,NOEXT
CMN20,2,CMN99INS,1,162,,,NOEXT
CMN20,2,CMN$$PCP,1,180,,,NOEXT
CMN20I,1,CMN$$SJN,1,1,,,NOEXT
CMN20I,1,CAS$$020,1,5,,,NOEXT
CMN20I,1,CMN00INS,1,22,,,NOEXT
CMN20I,1,CMNJSPRD,1,60,,,NOEXT
CMN20I,1,CMN$$ENQ,1,77,,,NOEXT
CMN20I,1,CMNPRDIM,2,116,,,NOEXT
CMN20I,1,CMNJSPRD,1,132,,,NOEXT
CMN20I,1,CMN$$ENQ,1,146,,,NOEXT
CMN20I,1,CMNJSPRD,1,214,,,NOEXT
CMN20I,1,CMNJSBAS,1,218,,,NOEXT
CMN20I,1,CMNINIGN,1,221,,,NOEXT
CMN20I,1,CMNINIGN,1,224,,,NOEXT
CMN20I,1,CMNINIGN,1,227,,,NOEXT
CMN20I,1,CMNJSPRD,1,276,,,NOEXT
CMN20I,1,CMNIDPEX,1,278,,,NOEXT
CMN20I,1,CMNIDPOV,2,279,,,NOEXT
CMN20I,1,CMNJSPRD,1,293,,,NOEXT
CMN20I,1,CMN$$ENQ,1,299,,,NOEXT
CMN20I,1,CMNJSPRD,1,335,,,NOEXT
CMN20I,1,CMN$$ENQ,1,344,,,NOEXT
CMN20I,1,CMNJSPRD,1,362,,,NOEXT
CMN20I,1,CMN$$ENQ,1,371,,,NOEXT
CMN20I,1,CMNPRDIM,2,407,,,NOEXT
CMN20I,1,CMNJSPRD,1,410,,,NOEXT
CMN20I,1,CMNIMSPD,2,412,,,NOEXT
CMN20I,1,SKIINACK,1,447,,,NOEXT
CMN20I,1,CMNJSPRD,1,454,,,NOEXT
CMN20I,1,CMNINACB,1,456,,,NOEXT
CMN20I,1,CICPHAIN,1,516,,,NOEXT
CMN20I,1,SKM$$XLB,1,573,,,NOEXT
CMN20I,1,CMN$$SQL,2,591,,,NOEXT
CMN20I,1,CMN$$STP,2,595,,,NOEXT
CMN20I,1,CMN00INS,1,600,,,NOEXT
CMN20I,1,CMN99INS,1,616,,,NOEXT
CMN20I,1,CMN$$PCP,1,645,,,NOEXT
CMN20I,1,CMN$$PND,1,648,,,NOEXT
CMN20I,1,CMN$$SNM,1,661,,,NOEXT
CMN20T,2,CMN$$SJN,1,1,,,NOEXT
CMN20T,2,CMN00INS,1,7,,,NOEXT
CMN20T,2,CMNINLPM,2,18,,,NOEXT
CMN20T,2,CMN$$ENQ,1,29,,,NOEXT
CMN20T,2,CMN$$CA7,2,89,,,NOEXT
CMN20T,2,CMN00INS,1,94,,,NOEXT
CMN20T,2,CMN99INS,1,110,,,NOEXT
CMN20T,2,CMN$$PCP,1,128,,,NOEXT
CMN20TI,2,CMN$$SJN,1,1,,,NOEXT
CMN20TI,2,CMN00INS,1,10,,,NOEXT
CMN20TI,2,CMNJSPRD,1,23,,,NOEXT
CMN20TI,2,CMNINLPM,2,25,,,NOEXT
CMN20TI,2,CMNPRDIM,2,35,,,NOEXT
CMN20TI,2,CMNJSPRD,1,45,,,NOEXT
CMN20TI,2,CMN$$ENQ,1,59,,,NOEXT
CMN20TI,2,CMNJSPRD,1,100,,,NOEXT
CMN20TI,2,CMNINIGN,1,102,,,NOEXT
CMN20TI,2,CMNINIGN,1,105,,,NOEXT
CMN20TI,2,CMNINIGN,1,108,,,NOEXT
CMN20TI,2,CMNJSPRD,1,129,,,NOEXT
CMN20TI,2,CMNIDPEX,1,131,,,NOEXT
CMN20TI,2,CMNIDPOV,2,132,,,NOEXT
CMN20TI,2,CMNJSPRD,1,145,,,NOEXT
CMN20TI,2,CMNJSPRD,1,164,,,NOEXT
CMN20TI,2,CMNPRDIM,2,186,,,NOEXT
CMN20TI,2,CMNJSPRD,1,189,,,NOEXT
CMN20TI,2,CMNIMSTP,2,191,,,NOEXT
CMN20TI,2,CMNJSPRD,1,206,,,NOEXT
CMN20TI,2,CMNINACB,1,208,,,NOEXT
CMN20TI,2,CMN$$CA7,2,216,,,NOEXT
CMN20TI,2,CMN00INS,1,221,,,NOEXT
CMN20TI,2,CMN99INS,1,237,,,NOEXT
CMN20TI,2,CMN$$PCP,1,255,,,NOEXT
CMN21,1,SKM$$VAR,1,3,,,NOEXT
CMN21,1,CMN00INS,1,475,,,NOEXT
CMN21,1,CMN99INS,1,481,,,NOEXT
CMN21,1,CMN$$PCP,1,483,,,NOEXT
CMN21,1,SKM$$XLB,1,494,,,NOEXT
CMN21,1,SKM$$XLB,1,528,,,NOEXT
CMN21,1,SKI21BND,1,535,,,NOEXT
CMN21,1,SKM$$XLB,1,543,,,NOEXT
CMN21,1,CMN99,1,547,,,NOEXT
CMN21,1,CMN$$PCP,1,549,,,NOEXT
CMN24,1,CMN$$SJN,1,1,,,NOEXT
CMN24,1,CMN$$PND,1,8,,,NOEXT
CMN24,1,CMN$$X25,2,22,,,NOEXT
CMN24,1,CMN$$F25,2,25,,,NOEXT
CMN24,1,CMN$$N25,2,28,,,NOEXT
CMN24,1,SKCDMEMO,1,30,,,NOEXT
CMN24,1,CMN99INS,1,31,,,NOEXT
CMN24,1,CMN$$PCP,1,33,,,NOEXT
CMN25,2,CMN$$JNM,1,1,,,NOEXT
CMN25,2,CMN00INS,1,6,,,NOEXT
CMN25,2,CMN99INS,1,9,,,NOEXT
CMN25,2,CMNINRPM,1,14,,,NOEXT
CMN28,1,CMN$$SJN,1,1,,,NOEXT
