Skeleton,Program,Line Number
CMN55PAN,IEBGENER,23
CMN55PAN,PAN#1,37
CMN55PAN,PAN#2,42
CMN55PAN,IEBGENER,51
CMN55PAN,PAN#1,66
CMN55PAN,IEBGENER,77
CMN55PAN,PAN#2,94
CMN55PAN,PAN#1,102
CMN55PDS,IEBGENER,9
CMN55PDS,IEBGENER,29
CMN55PDS,CMNDELRN,68
CMN55REN,CMNDELRN,5
CMN55SRD,IEBGENER,12
CMN55SRD,CMNDELRN,24
CMN55SRD,CMNDELRN,31
CMN55SRD,CMNUPDAT,43
CMN56,IEBCOPY,53
CMN56,CMNUPDAT,124
CMN56,CMNDB2PL,164
CMN56,IKJEFT1A,330
CMN56,IDCAMS,364
CMN57,CMNDB2TM,18
CMN57,CMNBATCH,34
CMN64,IKJEFT01,20
CMN64,IKJEFT01,89
CMN64,IDCAMS,109
CMN64,IDCAMS,161
CMN65,SY7660,6
CMN99,IEFBR14,11
CMN99,CMNBATCH,14
CMN99INS,IEFBR14,10
CMN99INS,IEFBR14,17
CMN99INS,CMNBATCH,20
CMNAPCOB,IKFCBL00,6
CMNAPCOB,IGYCRCTL,10
CMNAPCOM,A2GENER,78
CMNDB2DR,CMNDB2DR,10
CMNGRANT,IKJEFT01,5
CMNIDPEX,CMNWRITE,16
CMNIDPEX,IEBGENER,103
CMNIDPGN,ASMA90,18
CMNIDPGN,CMNSSIDN,117
CMNIDPGN,CMNSSIDN,120
CMNIDPGN,HEWL,156
CMNIDPOV,CMNISOVR,8
CMNIDPOV,ASMA90,48
CMNIDPOV,CMNSSIDN,110
CMNIDPOV,IEWL,154
CMNIMCPY,IEBCOPY,17
CMNIMCPY,SERCOPY,20
CMNIMPRO,CH7100,13
CMNIMPRO,SY4020,40
CMNIMPRO,IEBCOPY,44
CMNIMPRO,SERCOPY,48
CMNIMRPM,IEBGENER,195
CMNIMRPM,IEBCOPY,234
CMNIMRPM,IEBGENER,275
CMNIMRPM,IEBGENER,284
CMNIMSBL,SY4020,16
CMNIMSBL,SERCOPY,25
CMNIMSIM,IEBCOPY,10
CMNIMSIM,SERCOPY,13
CMNIMSPD,IEBCOPY,18
CMNIMSPD,SERCOPY,21
CMNIMSPD,IEBCOPY,82
CMNIMSPD,SERCOPY,85
CMNIMSPR,IEBCOPY,13
CMNIMSPR,SERCOPY,16
CMNIMSTP,IEBCOPY,18
CMNIMSTP,SERCOPY,21
CMNIMSTP,IEBCOPY,82
CMNIMSTP,SERCOPY,85
CMNINACB,DFSRRC00,9
CMNINASW,DFSUOCU0,6
CMNINFSW,DFSUOCU0,6
CMNINIGN,SORT,67
CMNINIGN,SORT,70
CMNINIGN,CMNISMFS,114
CMNINIGN,CMNISMFS,117
CMNJSBAS,IEFBR14,12
CMNJSBAS,CMNBATCH,14
CMNJSBAS,SERPRINT,31
CMNJSBAS,IEBGENER,40
CMNJSPRD,IEFBR14,12
CMNJSPRD,IEFBR14,18
CMNJSPRD,CMNBATCH,21
CMNJSPRD,IEBGENER,51
CMNJSPRM,IEBGENER,16
CMNJSRPM,IEFBR14,7
CMNJSRPM,IEBGENER,9
CMNJSRPM,SERPRINT,21
CMNJSRPM,IEBGENER,30
CMNMAPGN,CMNBAT90,17
CMNMAPGN,SERCOPY,43
CMNMAPGN,CMNBAT90,56
CMNMAPGN,SERCOPY,82
CMNMFSGN,CMNBAT90,33
CMNMFSGN,SERCOPY,59
